AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
VMB beta-lactamase	0.035817552	0.014995817	0.007979621	0.027627296	0.005713839	0.051220208	0.007473892	0.00192865	0.009862419	0.004956629	0.040323566	0.012428315	0.024640961
YEM beta-lactamase	0.014995817	0.011048706	0.015014835	0.007818937	0.021395783	0.025818901	0.01012541	0.005221281	0.011683484	0.007331557	0.071018944	0.006981606	0.021490531
YRC Beta-lactamase	1.290857195	0.754945887	0.442672152	1.956741617	2.53908506	0.896822068	0.736780732	0.620640821	1.323957086	1.85803313	0.811508971	1.370835396	0.813325756
ZOG beta-lactamase	0.235432607	0.036989589	0.075857776	0.144721733	0.059305975	0.070777362	0.067976633	0.041545492	0.146476573	0.054620796	0.268306025	0.044198197	0.116625234
amp acetyltransferase	0.060145673	0.061593921	0.107352272	0.089682207	0.059174516	0.055939104	0.0977541	0.075457628	0.050513969	0.083357212	0.275844107	0.100052174	0.089488415
ampC-type beta-lactamase	0.789050546	0.290802356	0.098843292	0.120089458	0.053814834	0.517485765	0.126946363	0.030801201	0.078147386	0.040646556	0.284811098	0.07627536	0.094729435
blaF family beta-lactamase	0.139286175	0.008678923	0.013923415	0.017348203	0.000610963	0.082559523	0.006570923	0	0.008681789	0.004296719	0.106305029	0.003308012	0.023989211
class A Bacillus anthracis Bla beta-lactamase	0.488255242	0.051746017	0.037771237	0.036700289	0.007365804	0.23062786	0.004811654	0.001945071	0.026498346	0.009643248	0.090792271	0.012745619	0.035435861
class A Bacillus cereus Bc beta-lactamase	0.904733939	1.009403735	0.476314502	1.567074855	1.103290051	0.58281157	1.534661169	0.831640383	1.222281689	0.548814624	0.571782616	1.06063198	1.443460043
class A LRA beta-lactamase	0.644715934	0.152720557	0.113556149	0.126725205	0.030373565	0.451904873	0.090366153	0.044841103	0.036548965	0.036820676	0.450890784	0.100314259	0.082547218
class A Mycobacterium abscessus beta-lactamase	0.024466859	0.015345426	0.033032636	0.023456812	0.06613242	0.061829473	0.031340556	0.01247306	0.024783147	0.032992009	0.192638886	0.021766182	0.061215452
class A Mycobacterium tuberculosis bla beta-lactamase	0.181689838	0.058257558	0.016840788	0.050571851	0.015627229	0.091128694	0.005801423	0.009205169	0.032381045	0.015979262	0.084600632	0.022141759	0.033148648
class C LRA beta-lactamase	0.631824242	0.08450467	0.097253559	0.179373416	0.055448676	0.169981697	0.019118428	0.025660451	0.090549154	0.026694374	0.328219021	0.042225064	0.079182396
class C LRA beta-lactamase; class D LRA beta-lactamase	0.245995802	0.21201276	0.149477847	0.118611951	0.067586579	0.158966189	0.120359735	0.099426522	0.086654045	0.156946	0.400546163	0.114169966	0.126725205
subclass B1 Bacillus anthracis Bla beta-lactamase	0.123414551	0.054151945	0.003696144	0.027351585	0.010654923	0.081023847	0.014414241	0.003308012	0.005186857	0.014947785	0.030858394	0.003770925	0.015223933
subclass B1 Bacillus cereus Bc beta-lactamase	0.569927028	0.172076042	0.203183204	0.187842339	0.361538225	0.318314495	0.157581663	0.170517908	0.396116294	0.263742834	0.182454756	0.207116304	0.307925414
subclass B1 Bacteroides xylanisolvens crx beta-lactamase	0.152363273	0.056656855	0.017758204	0.036829021	0.003002967	0.055634747	0.009725356	0.004076669	0.016393522	0.004641138	0.055231014	0.012830226	0.045274577
subclass B1 PEDO beta-lactamase	0.147177577	0.020915218	0.018414511	0.033032636	0.006014567	0.084934775	0.006794448	0.008196761	0.006961708	0.007434944	0.031770082	0.020417946	0.009856384
subclass B3 LRA beta-lactamase	0.853972313	0.651259859	0.523717433	0.398465082	1.217614565	1.29094504	0.484573214	0.201309381	0.580279696	0.51076517	2.059549385	0.422592475	0.666857694
subclass B3 PEDO beta-lactamase	0.721235	0.413808843	0.626417182	0.294354107	6.837252597	0.418516965	0.737070803	0.090989556	2.428578411	3.144363759	1.263259917	0.217510224	0.486969424
